traffic_type,hop_count,load_level,protocol,average_end_to_end_delay_n,average_end_to_end_delay_mean,average_end_to_end_delay_sample_std,average_end_to_end_delay_median,average_end_to_end_delay_minimum,average_end_to_end_delay_maximum,average_end_to_end_delay_ci95_low,average_end_to_end_delay_ci95_high,p95_end_to_end_delay_n,p95_end_to_end_delay_mean,p95_end_to_end_delay_sample_std,p95_end_to_end_delay_median,p95_end_to_end_delay_minimum,p95_end_to_end_delay_maximum,p95_end_to_end_delay_ci95_low,p95_end_to_end_delay_ci95_high,delivery_ratio_n,delivery_ratio_mean,delivery_ratio_sample_std,delivery_ratio_median,delivery_ratio_minimum,delivery_ratio_maximum,delivery_ratio_ci95_low,delivery_ratio_ci95_high,throughput_bps_n,throughput_bps_mean,throughput_bps_sample_std,throughput_bps_median,throughput_bps_minimum,throughput_bps_maximum,throughput_bps_ci95_low,throughput_bps_ci95_high,control_bytes_sent_n,control_bytes_sent_mean,control_bytes_sent_sample_std,control_bytes_sent_median,control_bytes_sent_minimum,control_bytes_sent_maximum,control_bytes_sent_ci95_low,control_bytes_sent_ci95_high,total_bytes_sent_n,total_bytes_sent_mean,total_bytes_sent_sample_std,total_bytes_sent_median,total_bytes_sent_minimum,total_bytes_sent_maximum,total_bytes_sent_ci95_low,total_bytes_sent_ci95_high
poisson,2,low,DCF,20,0.010557714652047093,0.0003962842083858949,0.010503068470070074,0.01007279273393866,0.011406995951047999,0.010384035440088424,0.010731393864005762,20,0.01762558258810145,0.0018832274373905492,0.017217153090002726,0.015627180871272725,0.021961637080588167,0.016800221772950243,0.018450943403252658,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164717.84997514606,11687.21250321693,163369.4763570662,149522.20240414448,194341.13977204423,159595.70325670906,169839.99669358306,20,5600.0,0.0,5600.0,5600.0,5600.0,5600.0,5600.0,20,432291.4,3166.566734526611,431974.0,428800.0,439380.0,430903.5909391566,433679.20906084345
poisson,2,low,Fixed-PRMAC,20,0.011319848312622078,0.00039019038580003976,0.011243619508200716,0.010837070778898223,0.012191137211645175,0.011148839836166189,0.011490856789077967,20,0.018910228508258867,0.0015526269982920025,0.018645820780421304,0.016865107448490253,0.0229059253107281,0.01822975972392992,0.019590697292587812,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164702.4376970902,11685.7347679527,163355.93077693734,149513.00586094052,194324.68200223614,159580.93862468793,169823.9367694925,20,32000.0,0.0,32000.0,32000.0,32000.0,32000.0,32000.0,20,460800.0,0.0,460800.0,460800.0,460800.0,460800.0,460800.0
poisson,2,medium,DCF,20,0.01478614371824149,0.0019463693767961274,0.014232096330951374,0.012277947175457356,0.019923572432928926,0.013933109728016842,0.015639177708466137,20,0.03338906193783679,0.009163809980405455,0.030044349360622825,0.02337937085199824,0.05823779361129476,0.02937284513621758,0.037405278739456004,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,410752.281539963,29266.87910206498,407733.54655228875,372146.4971379161,485071.6058455737,397925.50623231183,423579.0568476141,20,5600.0,0.0,5600.0,5600.0,5600.0,5600.0,5600.0,20,437898.8,4454.45841235143,439380.0,430916.0,447844.0,435946.54752465914,439851.05247534084
poisson,2,medium,Fixed-PRMAC,20,0.01564485424163768,0.0018776505810525676,0.015009421605767782,0.013599252817860253,0.02038965441252584,0.014821937591541476,0.01646777089173388,20,0.03350401713049433,0.008245162900711393,0.03029718460963325,0.02475994721949023,0.0552393849346284,0.02989041516311052,0.037117619097878134,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,410491.6356209701,29253.822460954627,407593.0726654341,371655.37010678125,484589.31721697585,397670.58263858675,423312.68860335345,20,32000.0,0.0,32000.0,32000.0,32000.0,32000.0,32000.0,20,460800.0,0.0,460800.0,460800.0,460800.0,460800.0,460800.0
poisson,4,high,DCF,20,1.5319058321302366,0.13885518804560992,1.5248129407540847,1.3079671482314388,1.8189489772761533,1.4710498627885307,1.5927618014719425,20,2.4562726786980518,0.12613502502828494,2.4679658741489545,2.2425796634983466,2.6840946039930618,2.4009915665979027,2.511553790798201,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,408826.8935970129,3256.9448844620083,408247.2093446801,404560.59099821624,416544.2084998878,407399.47456552996,410254.31262849586,20,11200.0,0.0,11200.0,11200.0,11200.0,11200.0,11200.0,20,1069305.8,16081.673268531153,1071316.0,1031112.0,1091418.0,1062257.6959344062,1076353.9040655938
poisson,4,high,Fixed-PRMAC,20,0.3347331093633391,0.07941690269551867,0.3217808931658769,0.1930390204299592,0.5196976004074331,0.2999271171373646,0.36953910158931363,20,0.6202402973018107,0.1394420806453792,0.6249850626512286,0.382942305166505,1.0054351218626247,0.5591271109373839,0.6813534836662376,20,0.975,0.010000000000000009,0.975,0.96,1.0,0.9706173067641004,0.9793826932358995,20,715673.9060796555,30508.377389496032,720552.5505356678,640503.3266375111,768862.8887507438,702303.0201573339,729044.7920019771,20,69418.0,2003.7112934173977,69440.0,66160.0,73500.0,68539.8348067644,70296.1651932356,20,913510.8,5048.643565615578,912402.0,900732.0,923760.0,911298.134399451,915723.4656005491
poisson,4,low,DCF,20,0.027678341074631047,0.002899173066803331,0.026569695326206486,0.024520117186351303,0.03721858928931236,0.026407722455672925,0.02894895969358917,20,0.05878462864490105,0.015480069928312464,0.054841087873529176,0.04587798159211705,0.11038267768519783,0.052000188868294286,0.06556906842150781,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164477.82177578722,11664.915477040395,163198.79483686516,149166.25073508246,194142.8181084903,159365.44715993069,169590.19639164375,20,11200.0,0.0,11200.0,11200.0,11200.0,11200.0,11200.0,20,885901.5,10584.871247010493,887224.0,871354.0,911558.0,881262.4756382859,890540.5243617141
poisson,4,low,Fixed-PRMAC,20,0.02273528260534049,0.0003810825533346957,0.0227490982427445,0.02201202439892233,0.023470911498614546,0.022568265812458556,0.02290229939822242,20,0.03190753715900364,0.0018142389918310551,0.03150615203880347,0.029799565774616652,0.0361599508502255,0.03111241186322332,0.03270266245478397,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,164486.19258514605,11677.450214254846,163151.76290275,149141.7521533445,194089.46111759898,159368.32437848917,169604.06079180294,20,73546.0,1623.318239059476,73240.0,70600.0,76720.0,72834.54941339616,74257.45058660384,20,931146.0,1623.318239059476,930840.0,928200.0,934320.0,930434.5494133962,931857.4505866038
poisson,4,medium,DCF,20,0.21269958120503704,0.11837495628477952,0.16882724394734805,0.09699002576760513,0.4784909846990506,0.16081946918411577,0.2645796932259583,20,0.42921566840732633,0.18319544804991325,0.3851557870444222,0.2296636007750243,0.8179038990379495,0.34892672330573143,0.5095046135089212,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,389213.62084479217,14850.89377959909,391399.2514943483,363233.4047348006,415739.4320629758,382704.92967330094,395722.3120162834,20,11200.0,0.0,11200.0,11200.0,11200.0,11200.0,11200.0,20,1021008.1,17044.103650606903,1018945.0,989850.0,1053330.0,1013538.1922218513,1028478.0077781486
poisson,4,medium,Fixed-PRMAC,20,0.02881415818045203,0.002400556688466099,0.028052499599712715,0.026407212864787498,0.03489700900873211,0.027762067824358642,0.02986624853654542,20,0.049129645391100776,0.009823478066012819,0.04559344986079736,0.037899137336815575,0.07603238493462804,0.044824316303808544,0.05343497447839301,20,0.9994999999999999,0.0015389675281277325,1.0,0.995,1.0,0.9988255177424205,1.0001744822575793,20,409110.64372402354,29349.73196076481,406564.61667026504,369449.75999362173,483109.2713470124,396247.5565500326,421973.7308980145,20,75075.0,1806.8160422484398,75400.0,72040.0,77800.0,74283.12795531229,75866.87204468771,20,932460.6,1740.6270013689714,932028.0,929640.0,935400.0,931697.7365814876,933223.4634185124
