protocol,hop_count,packet_count,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p50_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,retransmissions,collision_or_conflict_events,contention_attempts,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,total_frames_sent,total_bytes_sent,queue_overflow_drops,maximum_queue_length,average_queue_delay,maximum_queue_delay,active_reservations_after_run,terminal_sessions,simulation_end_time,wall_clock_runtime,platform,sensitivity_type,scenario_id,load_level,interarrival_time,successful_hops,difs_starts,segment_queue_entries,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,ack_frames_sent,ack_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,per_flow_metrics,flow_count,jain_fairness,multiflow_scenario,traffic_type
Fixed-PRMAC,4,200,187,3.9616160000000016,200,200,0,1.0,0.03877770000000031,,0.057495999999999575,0.05765659999999931,0.05779599999999929,413568.6043271229,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.12601329999961308,python,burst,python-burst-4hop-medium-seed-187-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009299850000000064,0.037391999999999204,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,197,3.9942430000000124,200,200,0,1.0,0.07083868500000462,0.0775880000000033,0.09513300000001243,0.09934483000001199,0.11133900000002361,410190.36648496223,102,51,902,800,11200,902,954316,1702,965516,0,0,0.007247613750000637,0.0,0,200,3.9942430000000124,0.35504149999906076,python,burst,python-burst-4hop-medium-seed-197-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,197,3.9611960000000015,200,200,0,1.0,0.03873870000000031,,0.05745699999999885,0.05755639999999905,0.057616000000003886,413612.45442033146,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.09550470000249334,python,burst,python-burst-4hop-medium-seed-197-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009283650000000065,0.037332000000000226,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,7,4.01275300000014,200,200,0,1.0,1.4578515950000321,1.5177194999999988,2.462508300000134,2.484423380000124,2.500303000000126,408298.2431263381,200,99,1000,800,11200,1000,1058000,1800,1069200,0,0,0.34681298875000754,0.0,0,200,4.01275300000014,0.426746600001934,python,burst,python-burst-4hop-high-seed-7-DCF,high,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,7,2.2291080000000507,200,194,6,0.97,0.32674872164949764,,0.6294697000000512,0.6540732400000505,0.6651080000000495,712952.4455521957,79,85,477,2578,69500,784,829472,4146,909948,0,,,,0,200,,0.11342979999972158,python,burst,python-burst-4hop-high-seed-7-Fixed-PRMAC,high,0.007859296482412067,784,477,398,57,0.15337947738694108,0.6042580000000541,784,10976,20.73,4549.74,358.2474226804124,398,392,,,,,
DCF,4,200,17,4.0644490000001525,200,200,0,1.0,1.5876330700000394,1.8276350000000114,2.5106453000001476,2.530949920000144,2.534569000000145,403105.0703305512,230,110,1030,800,11200,1030,1089740,1830,1100940,0,0,0.3780282162500092,0.0,0,200,4.0644490000001525,0.5014836000009382,python,burst,python-burst-4hop-high-seed-17-DCF,high,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,17,2.2121980000000496,200,191,9,0.955,0.31343762303666056,,0.616364000000051,0.6369312000000491,0.6481980000000485,707292.927667399,84,93,482,2578,69560,778,823124,4134,903576,0,,,,0,200,,0.12497210000219638,python,burst,python-burst-4hop-high-seed-17-Fixed-PRMAC,high,0.007859296482412067,778,482,398,51,0.14987949246231744,0.5664220000000573,778,10892,20.67,4517.88,364.18848167539267,398,389,,,,,
DCF,4,200,27,4.019136000000156,200,200,0,1.0,1.4830229200000415,1.5494979999999923,2.487964000000139,2.5065506600001424,2.5149240000001374,407649.80334080174,205,100,1005,800,11200,1005,1063290,1805,1074490,0,0,0.35355742250000977,0.0,0,200,4.019136000000156,0.3992653999994218,python,burst,python-burst-4hop-high-seed-27-DCF,high,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,27,2.198596000000055,200,195,5,0.975,0.33014646153847477,,0.5962316000000548,0.6234571200000545,0.6345960000000537,726572.7764445856,75,80,474,2580,69520,788,833704,4156,914256,0,,,,0,200,,0.14186870000048657,python,burst,python-burst-4hop-high-seed-27-Fixed-PRMAC,high,0.007859296482412067,788,474,399,53,0.15337962907268807,0.5834160000000541,788,11032,20.78,4571.28,356.5128205128205,399,394,,,,,
DCF,4,200,37,4.013914000000137,200,200,0,1.0,1.7087107900000411,1.847038500000022,2.4716164000001166,2.485723380000123,2.501484000000124,408180.14536433615,207,99,1007,800,11200,1007,1065406,1807,1076606,0,0,0.40916391875000974,0.0,0,200,4.013914000000137,0.464928699999291,python,burst,python-burst-4hop-high-seed-37-DCF,high,,,,,,,,,,,,,,,,,,,
