protocol,hop_count,packet_count,interarrival_time,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,successful_hops,collision_or_conflict_events,retransmissions,contention_attempts,difs_starts,segment_queue_entries,queue_overflow_drops,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,ack_frames_sent,ack_bytes_sent,total_frames_sent,total_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,active_reservations_after_run,terminal_sessions,load_level
DCF,4,8,0.05,17,0.36824400000000074,8,8,0,1.0,0.018271500000000166,0.01843499999999977,0.018474199999999667,0.01848399999999964,177968.95536655007,32,0,0,32,32,32,0,0,0.0,0.0,32,448,32,33856,32,448,64,34304,8.0,4288.0,56.0,0,0,0,8,low
Fixed-PRMAC,4,8,0.05,17,0.37016399999999994,8,8,0,1.0,0.020176499999999986,0.020335999999999996,0.02035839999999995,0.020363999999999938,177045.84994759082,32,0,0,16,16,16,0,1,0.0,0.0,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,low
DCF,4,8,0.05,27,0.3679840000000005,8,8,0,1.0,0.018151500000000258,0.018428000000000888,0.018472800000000934,0.018484000000000944,178094.69976955498,32,0,0,32,32,32,0,0,0.0,0.0,32,448,32,33856,32,448,64,34304,8.0,4288.0,56.0,0,0,0,8,low
Fixed-PRMAC,4,8,0.05,27,0.3702639999999999,8,8,0,1.0,0.020228999999999994,0.020363000000000082,0.020379800000000114,0.020384000000000124,176998.03383531753,32,0,0,16,16,16,0,1,0.0,0.0,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,low
DCF,4,8,0.02,7,0.15778399999999992,8,8,0,1.0,0.018164000000000034,0.018382000000000006,0.01841559999999998,0.01842399999999997,415352.63398063194,32,0,0,32,32,32,0,0,0.0,0.0,32,448,32,33856,32,448,64,34304,8.0,4288.0,56.0,0,0,0,8,medium
Fixed-PRMAC,4,8,0.02,7,0.16028400000000012,8,8,0,1.0,0.020131500000000007,0.020336000000000035,0.020358400000000002,0.020363999999999993,408874.248209428,32,0,0,16,16,16,0,1,0.0,0.0,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,medium
DCF,4,8,0.02,17,0.15824399999999975,8,8,0,1.0,0.018271500000000027,0.018435000000000146,0.018474200000000218,0.018484000000000236,414145.24405348767,32,0,0,32,32,32,0,0,0.0,0.0,32,448,32,33856,32,448,64,34304,8.0,4288.0,56.0,0,0,0,8,medium
Fixed-PRMAC,4,8,0.02,17,0.16016400000000014,8,8,0,1.0,0.020176500000000007,0.020335999999999944,0.02035839999999994,0.020363999999999938,409180.5898953569,32,0,0,16,16,16,0,1,0.0,0.0,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,medium
DCF,4,8,0.02,27,0.15798399999999985,8,8,0,1.0,0.0181515,0.01842800000000003,0.018472799999999963,0.018483999999999945,414826.8179056111,32,0,0,32,32,32,0,0,0.0,0.0,32,448,32,33856,32,448,64,34304,8.0,4288.0,56.0,0,0,0,8,medium
Fixed-PRMAC,4,8,0.02,27,0.16026400000000013,8,8,0,1.0,0.020229000000000004,0.02036299999999997,0.020379799999999948,0.020383999999999944,408925.2732990562,32,0,0,16,16,16,0,1,0.0,0.0,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,medium
DCF,4,8,0.008,7,0.15244100000000002,8,8,0,1.0,0.08133225000000009,0.09607980000000006,0.09636876000000004,0.09644100000000003,429910.58835877484,32,2,4,36,73,32,0,0,0.009671281250000012,0.0491060000000001,32,448,36,38088,32,448,68,38536,8.5,4817.0,56.0,0,0,0,8,high
Fixed-PRMAC,4,8,0.008,7,0.09196999999999998,8,8,0,1.0,0.02812450000000002,0.035123699999999994,0.035800739999999984,0.03596999999999998,712580.189192128,32,0,0,16,16,16,0,3,0.00399650000000001,0.015606000000000043,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,high
DCF,4,8,0.008,17,0.16845600000000016,8,8,0,1.0,0.0820627500000003,0.11467510000000021,0.11563102000000024,0.11587000000000024,389039.2743505719,32,5,10,42,80,32,0,0,0.008861750000000045,0.08103400000000044,32,448,42,44436,32,448,74,44884,9.25,5610.5,56.0,0,0,0,8,high
Fixed-PRMAC,4,8,0.008,17,0.09230999999999998,8,8,0,1.0,0.028194500000000015,0.03548469999999999,0.03614493999999997,0.036309999999999974,709955.5844437224,32,0,0,16,16,16,0,3,0.004009000000000007,0.015986000000000035,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,high
DCF,4,8,0.008,27,0.15250099999999983,8,8,0,1.0,0.08066825,0.10112210000000005,0.10207802000000007,0.10231700000000007,429741.44431839837,32,2,4,36,81,32,0,0,0.008535250000000001,0.033497000000000034,32,448,36,38088,32,448,68,38536,8.5,4817.0,56.0,0,0,0,8,high
Fixed-PRMAC,4,8,0.008,27,0.09250999999999997,8,8,0,1.0,0.028389500000000012,0.03570569999999998,0.03634913999999997,0.036509999999999966,708420.711274457,32,0,0,16,16,16,0,3,0.004080250000000009,0.01616600000000002,96,2560,32,33856,32,448,160,36864,20.0,4608.0,320.0,16,16,0,8,high
DCF,6,8,0.05,7,0.37661600000000034,8,8,0,1.0,0.02730850000000026,0.027726000000000108,0.027782000000000168,0.02779600000000018,174012.78756080449,48,0,0,48,48,48,0,0,0.0,0.0,48,672,48,50784,48,672,96,51456,12.0,6432.0,84.0,0,0,0,8,low
